Unnamed: 0,Unnamed: 0.1,488_only_foci,488_overlap_foci,488_total_foci,561_only_foci,561_overlap_foci,561_total_foci,cell,filename,flagged_oof,flagged_z,im_n_cells,im_raw_cells,image,stains,cell_line,parent,treatment,czi_id
0,0,3.0,0.0,3.0,2.0,0.0,2.0,1.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,1.0,LC3-p62,dFIP200,HEK,No Torin,3
1,1,4.0,0.0,4.0,9.0,0.0,9.0,2.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,1.0,LC3-p62,dFIP200,HEK,No Torin,3
2,2,4.0,0.0,4.0,2.0,0.0,2.0,1.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,2.0,LC3-p62,dFIP200,HEK,No Torin,3
3,3,4.0,0.0,4.0,0.0,0.0,0.0,2.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,2.0,LC3-p62,dFIP200,HEK,No Torin,3
4,4,4.0,0.0,4.0,6.0,0.0,6.0,1.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,3.0,LC3-p62,dFIP200,HEK,No Torin,3
5,5,5.0,0.0,5.0,5.0,0.0,5.0,2.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,3.0,LC3-p62,dFIP200,HEK,No Torin,3
6,6,3.0,0.0,3.0,2.0,0.0,2.0,1.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,4.0,LC3-p62,dFIP200,HEK,No Torin,3
7,7,5.0,0.0,5.0,0.0,0.0,0.0,2.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,4.0,LC3-p62,dFIP200,HEK,No Torin,3
8,8,5.0,0.0,5.0,4.0,0.0,4.0,1.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,1.0,1.0,1.0,5.0,LC3-p62,dFIP200,HEK,No Torin,3
9,9,6.0,0.0,6.0,0.0,0.0,0.0,1.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,1.0,1.0,2.0,2.0,6.0,LC3-p62,dFIP200,HEK,No Torin,3
10,10,10.0,0.0,10.0,0.0,0.0,0.0,2.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,1.0,1.0,2.0,2.0,6.0,LC3-p62,dFIP200,HEK,No Torin,3
11,11,3.0,0.0,3.0,0.0,0.0,0.0,1.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,7.0,LC3-p62,dFIP200,HEK,No Torin,3
12,12,6.0,0.0,6.0,7.0,0.0,7.0,2.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,7.0,LC3-p62,dFIP200,HEK,No Torin,3
13,13,2.0,0.0,2.0,0.0,0.0,0.0,1.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,3.0,3.0,8.0,LC3-p62,dFIP200,HEK,No Torin,3
14,14,2.0,1.0,3.0,0.0,1.0,1.0,2.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,3.0,3.0,8.0,LC3-p62,dFIP200,HEK,No Torin,3
15,15,6.0,0.0,6.0,3.0,0.0,3.0,3.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,3.0,3.0,8.0,LC3-p62,dFIP200,HEK,No Torin,3
16,16,3.0,0.0,3.0,0.0,0.0,0.0,1.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,1.0,2.0,2.0,9.0,LC3-p62,dFIP200,HEK,No Torin,3
17,17,1.0,1.0,2.0,0.0,1.0,1.0,2.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,1.0,2.0,2.0,9.0,LC3-p62,dFIP200,HEK,No Torin,3
18,18,6.0,0.0,6.0,1.0,0.0,1.0,1.0,LC3-p62_HEK_dFIP200_No Torin_10Pos_3_AiryscanProcessing.czi,0.0,0.0,2.0,2.0,10.0,LC3-p62,dFIP200,HEK,No Torin,3
